# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 2
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page with wind correction
# enhanced_by: polar-visualizer/gps-beta-enhance
# mode: wingsuit
# polar: a5segments
# beta_source: lateral_force_equilibrium
t,V,alpha,beta,gamma,phi,theta,theta_corr,psi,psi_corr,p,q,r,p_corr,q_corr,r_corr,CL,CD,qbar,rho
26.40,50.09,7.18,-0.0039,-13.71,-5.50,-6.57,-6.56,166.6,166.6,17.04,2.19,1.11,17.04,2.18,1.21,0.384914,0.141546,1185.8,0.9453
26.60,49.68,7.18,-0.0035,-13.24,-2.23,-6.07,-6.07,166.8,166.8,16.42,2.12,1.57,16.44,2.12,1.59,0.384706,0.139014,1166.9,0.9456
26.80,49.29,7.09,0.0021,-12.78,1.01,-5.69,-5.69,167.2,167.2,16.65,1.33,2.19,16.65,1.35,2.24,0.382956,0.136079,1149.1,0.9458
27.00,48.94,6.84,0.0080,-12.36,4.34,-5.55,-5.54,167.7,167.7,17.35,0.36,2.90,17.32,0.33,2.74,0.376131,0.132797,1132.9,0.9460
27.20,48.59,6.49,0.0085,-12.07,7.83,-5.64,-5.64,168.3,168.3,18.13,-0.73,3.60,18.14,-0.74,3.59,0.364216,0.130925,1117.0,0.9462
27.40,48.25,6.07,-0.0030,-11.98,11.46,-6.03,-6.03,169.1,169.1,18.16,-1.12,4.23,18.16,-1.11,4.21,0.352047,0.130891,1101.6,0.9464
27.60,47.92,5.81,-0.0193,-12.03,14.93,-6.41,-6.41,169.9,169.9,16.59,-0.65,4.70,16.57,-0.70,4.47,0.343140,0.130723,1086.7,0.9466
27.80,47.60,5.64,-0.0383,-12.14,17.90,-6.77,-6.76,170.8,170.8,13.25,-0.70,4.93,13.24,-0.71,4.80,0.338128,0.129812,1072.5,0.9468
28.00,47.30,5.38,-0.0715,-12.35,20.02,-7.29,-7.27,171.7,171.6,8.97,-1.12,4.93,8.94,-1.10,4.71,0.332804,0.127629,1059.4,0.9470
28.20,47.03,5.13,-0.1111,-12.64,21.27,-7.87,-7.82,172.5,172.4,5.04,-1.68,4.75,5.01,-1.62,4.64,0.324250,0.125252,1047.7,0.9471
28.40,46.81,4.76,-0.1684,-13.03,21.82,-8.60,-8.55,173.3,173.1,1.68,-2.12,4.52,1.66,-2.10,4.29,0.314369,0.123353,1038.0,0.9473
28.60,46.61,4.50,-0.2208,-13.50,21.74,-9.33,-9.24,173.9,173.7,-1.40,-2.14,4.31,-1.44,-2.13,4.05,0.305023,0.121600,1029.1,0.9476
28.80,46.43,4.29,-0.2692,-14.04,21.05,-10.04,-9.94,174.6,174.3,-4.27,-2.13,3.97,-4.32,-2.17,3.78,0.298595,0.120533,1021.4,0.9478
29.00,46.29,4.16,-0.3042,-14.61,19.82,-10.69,-10.59,175.1,174.8,-6.84,-1.82,3.49,-6.91,-1.93,3.18,0.295192,0.119504,1015.6,0.9480
29.20,46.17,4.16,-0.3143,-15.15,18.11,-11.19,-11.10,175.6,175.3,-8.57,-1.12,3.05,-8.55,-1.13,3.20,0.295679,0.119233,1010.7,0.9482
29.40,46.07,4.36,-0.2985,-15.69,16.19,-11.50,-11.42,176.2,175.9,-9.23,-0.64,2.62,-9.19,-0.65,2.83,0.300379,0.120635,1006.5,0.9485
29.60,45.98,4.56,-0.2738,-16.15,14.23,-11.73,-11.66,176.6,176.3,-9.68,-0.59,2.12,-9.70,-0.67,2.06,0.305952,0.122161,1003.0,0.9487
29.80,45.89,4.70,-0.2441,-16.53,12.16,-11.94,-11.88,176.9,176.7,-10.50,-0.52,1.64,-10.48,-0.57,1.79,0.311717,0.124028,999.4,0.9490
30.00,45.82,4.90,-0.2032,-16.90,9.90,-12.07,-12.04,177.2,177.0,-10.99,-0.36,1.16,-10.92,-0.37,1.51,0.317192,0.125673,996.3,0.9492
30.20,45.74,5.13,-0.1586,-17.24,7.67,-12.16,-12.13,177.4,177.2,-10.99,0.16,0.58,-10.89,0.14,0.96,0.324484,0.127033,993.1,0.9495
30.40,45.68,5.47,-0.1080,-17.49,5.46,-12.04,-12.03,177.5,177.4,-10.65,0.59,0.13,-10.60,0.59,0.42,0.333484,0.127947,990.7,0.9498
30.60,45.61,5.73,-0.0641,-17.64,3.39,-11.93,-11.92,177.5,177.4,-9.89,0.37,-0.21,-9.86,0.38,-0.07,0.341644,0.128526,988.2,0.9500
30.80,45.55,5.90,-0.0281,-17.78,1.52,-11.89,-11.88,177.4,177.4,-9.18,-0.22,-0.61,-9.17,-0.22,-0.56,0.346141,0.128749,986.0,0.9503
31.00,45.49,5.90,0.0044,-17.90,-0.23,-12.01,-12.00,177.2,177.2,-7.57,-0.81,-0.83,-7.58,-0.85,-0.84,0.346596,0.127872,983.6,0.9506
31.20,45.45,5.81,0.0290,-18.03,-1.44,-12.22,-12.22,177.0,177.0,-4.93,-1.57,-0.83,-4.89,-1.59,-0.66,0.344377,0.126348,982.2,0.9508
31.40,45.43,5.55,0.0478,-18.19,-2.13,-12.64,-12.64,176.9,176.9,-1.87,-2.18,-0.65,-1.82,-2.16,-0.51,0.338756,0.123838,981.5,0.9511
31.60,45.42,5.30,0.0529,-18.39,-2.13,-13.10,-13.09,176.8,176.9,2.02,-2.20,-0.33,2.01,-2.21,-0.36,0.332643,0.121828,981.2,0.9514
31.80,45.44,5.13,0.0353,-18.66,-1.30,-13.53,-13.53,176.8,176.8,5.73,-2.13,0.13,5.70,-2.15,0.05,0.326557,0.120430,982.4,0.9517
32.00,45.46,4.97,-0.0041,-18.92,0.14,-13.95,-13.95,176.9,176.9,9.26,-1.97,0.80,9.16,-1.95,0.46,0.321721,0.119662,983.7,0.9520
32.20,45.49,4.90,-0.0721,-19.21,2.32,-14.32,-14.31,177.1,177.0,11.45,-1.82,1.37,11.34,-1.80,0.92,0.319491,0.119927,985.4,0.9523
32.40,45.53,4.83,-0.1511,-19.51,4.59,-14.70,-14.68,177.4,177.2,11.24,-1.72,1.84,11.14,-1.70,1.44,0.317170,0.119363,987.3,0.9525
32.60,45.58,4.76,-0.2300,-19.79,6.64,-15.06,-15.04,177.8,177.6,9.69,-1.69,2.18,9.57,-1.66,1.76,0.315764,0.118095,989.8,0.9529
32.80,45.65,4.70,-0.3015,-20.12,8.25,-15.47,-15.43,178.2,177.9,7.41,-1.54,2.28,7.36,-1.49,2.09,0.315138,0.117343,993.3,0.9532
33.00,45.74,4.70,-0.3564,-20.44,9.38,-15.80,-15.74,178.7,178.3,5.66,-1.03,2.32,5.62,-0.99,2.12,0.315196,0.117781,997.3,0.9535
33.20,45.82,4.76,-0.3989,-20.71,10.28,-16.03,-15.96,179.1,178.7,4.64,-0.84,2.41,4.56,-0.83,2.14,0.316199,0.118710,1001.1,0.9538
33.40,45.89,4.76,-0.4398,-20.98,10.98,-16.30,-16.22,179.6,179.2,3.86,-1.29,2.53,3.76,-1.28,2.23,0.315515,0.119518,1004.7,0.9541
33.60,45.98,4.63,-0.4885,-21.26,11.56,-16.73,-16.63,180.0,179.5,2.88,-1.69,2.52,2.80,-1.65,2.31,0.311770,0.119113,1008.9,0.9544
33.80,46.07,4.50,-0.5302,-21.57,11.87,-17.17,-17.06,180.5,180.0,1.98,-1.96,2.50,1.94,-1.95,2.38,0.306495,0.117801,1013.3,0.9547
34.00,46.18,4.29,-0.5778,-21.90,12.10,-17.70,-17.58,180.9,180.3,1.40,-2.06,2.49,1.31,-2.08,2.18,0.301218,0.116677,1018.6,0.9551
34.20,46.31,4.16,-0.6138,-22.25,12.18,-18.18,-18.05,181.3,180.7,0.55,-1.61,2.43,0.53,-1.57,2.40,0.296941,0.114946,1024.7,0.9554
34.40,46.45,4.16,-0.6278,-22.60,12.05,-18.54,-18.40,181.8,181.2,0.06,-1.27,2.36,0.06,-1.26,2.38,0.295580,0.114225,1031.1,0.9558
34.60,46.61,4.16,-0.6417,-22.95,11.93,-18.88,-18.75,182.2,181.5,0.14,-0.94,2.28,0.08,-0.98,2.09,0.295821,0.114164,1038.7,0.9561
34.80,46.76,4.23,-0.6454,-23.23,11.83,-19.09,-18.96,182.6,181.9,1.31,-0.60,2.34,1.25,-0.60,2.22,0.297891,0.114869,1045.9,0.9565
35.00,46.92,4.29,-0.6719,-23.50,12.15,-19.30,-19.16,183.1,182.4,2.74,-0.44,2.46,2.70,-0.42,2.37,0.300988,0.116443,1053.2,0.9568
35.20,47.06,4.36,-0.7025,-23.73,12.60,-19.47,-19.32,183.6,182.9,3.35,-0.18,2.63,3.31,-0.14,2.54,0.302861,0.117825,1060.1,0.9572
35.40,47.21,4.43,-0.7344,-23.92,13.13,-19.60,-19.44,184.2,183.4,3.55,0.12,2.75,3.47,0.13,2.50,0.305397,0.118640,1067.1,0.9576
35.60,47.34,4.56,-0.7599,-24.11,13.64,-19.67,-19.50,184.7,183.9,2.78,0.44,2.74,2.69,0.44,2.49,0.309188,0.120274,1073.6,0.9580
35.80,47.49,4.70,-0.7630,-24.25,13.85,-19.69,-19.50,185.3,184.5,2.24,0.79,2.78,2.28,0.85,2.93,0.312896,0.121777,1080.6,0.9584
36.00,47.60,4.83,-0.7659,-24.32,14.12,-19.63,-19.45,186.0,185.2,2.32,0.85,2.79,2.35,0.89,2.92,0.317101,0.122876,1086.1,0.9587
36.20,47.71,4.90,-0.7722,-24.38,14.36,-19.63,-19.44,186.6,185.8,2.85,0.41,2.87,2.79,0.42,2.72,0.318744,0.123680,1091.8,0.9591
36.40,47.82,4.83,-0.8058,-24.43,14.85,-19.76,-19.55,187.2,186.4,3.83,-0.01,3.04,3.71,-0.00,2.73,0.316356,0.122735,1097.3,0.9595
36.60,47.94,4.70,-0.8532,-24.48,15.47,-19.95,-19.72,187.8,186.9,4.08,-0.62,3.18,3.94,-0.58,2.81,0.311858,0.120886,1103.0,0.9599
36.80,48.07,4.43,-0.9216,-24.59,16.06,-20.34,-20.08,188.4,187.5,3.78,-1.31,3.28,3.65,-1.27,2.93,0.304449,0.118731,1109.4,0.9603
37.00,48.22,4.09,-0.9995,-24.74,16.57,-20.81,-20.53,189.0,188.0,3.12,-1.66,3.27,3.01,-1.59,3.02,0.294533,0.115773,1116.7,0.9607
37.20,48.37,3.76,-1.0731,-24.94,16.90,-21.35,-21.03,189.6,188.5,2.38,-1.80,3.26,2.23,-1.78,2.86,0.284322,0.113119,1124.3,0.9611
37.40,48.56,3.49,-1.1408,-25.22,17.12,-21.88,-21.55,190.1,188.9,1.78,-1.91,3.24,1.65,-1.89,2.92,0.274533,0.111234,1133.5,0.9615
37.60,48.75,3.22,-1.2045,-25.53,17.21,-22.46,-22.10,190.7,189.5,1.45,-1.86,3.19,1.31,-1.83,2.92,0.266665,0.109764,1143.1,0.9619
37.80,48.95,3.02,-1.2592,-25.85,17.28,-22.97,-22.59,191.2,189.9,1.43,-1.59,3.15,1.30,-1.58,2.87,0.261027,0.108929,1152.9,0.9623
38.00,49.16,2.89,-1.3071,-26.19,17.35,-23.44,-23.04,191.8,190.4,1.57,-1.32,3.15,1.52,-1.28,3.05,0.257409,0.107958,1163.4,0.9627
38.20,49.39,2.82,-1.3505,-26.54,17.46,-23.85,-23.44,192.4,191.0,1.53,-0.58,3.13,1.41,-0.61,2.95,0.257005,0.107112,1174.6,0.9632
38.40,49.62,2.95,-1.3553,-26.85,17.46,-24.03,-23.63,193.0,191.6,0.51,0.38,3.03,0.48,0.35,3.08,0.260217,0.107785,1186.3,0.9636
38.60,49.85,3.15,-1.3167,-27.08,17.12,-24.07,-23.68,193.7,192.3,-0.80,1.23,2.92,-0.68,1.21,3.25,0.266283,0.109192,1198.1,0.9640
38.80,50.06,3.49,-1.2411,-27.25,16.58,-23.90,-23.55,194.4,193.1,-1.68,1.72,2.73,-1.59,1.64,3.00,0.274810,0.111648,1208.3,0.9645
39.00,50.26,3.76,-1.1579,-27.33,15.90,-23.72,-23.40,195.0,193.8,-1.51,1.98,2.58,-1.40,1.94,2.94,0.283600,0.114202,1218.5,0.9649
39.20,50.43,4.03,-1.0836,-27.30,15.44,-23.42,-23.13,195.7,194.6,-0.60,2.23,2.54,-0.41,2.24,3.05,0.291141,0.115674,1227.4,0.9654
39.40,50.58,4.23,-1.0254,-27.21,15.13,-23.13,-22.86,196.4,195.3,-0.05,2.23,2.57,0.03,2.18,2.79,0.297472,0.117445,1235.5,0.9658
39.60,50.73,4.43,-0.9734,-27.11,14.90,-22.83,-22.58,197.0,196.0,-0.13,2.41,2.53,-0.04,2.36,2.76,0.302965,0.119748,1243.4,0.9663
39.80,50.84,4.63,-0.9127,-26.94,14.57,-22.46,-22.23,197.7,196.7,-1.13,2.93,2.37,-1.00,2.89,2.73,0.309828,0.121906,1249.6,0.9667
40.00,50.92,4.90,-0.8251,-26.69,13.95,-21.94,-21.74,198.3,197.4,-2.58,3.74,2.19,-2.40,3.69,2.70,0.319181,0.124229,1254.0,0.9672
40.20,51.00,5.30,-0.7115,-26.38,13.05,-21.21,-21.06,199.0,198.3,-4.30,4.25,1.89,-4.10,4.19,2.49,0.329111,0.126406,1258.3,0.9676
40.40,51.04,5.64,-0.5893,-25.97,11.79,-20.45,-20.33,199.5,198.9,-5.67,4.05,1.54,-5.47,3.99,2.13,0.338213,0.128200,1260.9,0.9681
40.60,51.04,5.81,-0.4832,-25.47,10.43,-19.75,-19.67,200.0,199.5,-6.12,3.39,1.24,-5.93,3.32,1.78,0.343730,0.129242,1261.6,0.9685
40.80,51.03,5.81,-0.3977,-24.95,9.08,-19.21,-19.15,200.3,199.9,-5.90,2.36,1.05,-5.78,2.33,1.43,0.344302,0.129001,1261.4,0.9689
41.00,51.01,5.64,-0.3354,-24.47,7.87,-18.89,-18.84,200.6,200.2,-5.40,1.88,0.89,-5.30,1.85,1.24,0.340858,0.128021,1261.3,0.9694
41.20,50.99,5.55,-0.2779,-24.03,6.76,-18.51,-18.49,200.8,200.5,-4.91,1.68,0.76,-4.82,1.64,1.02,0.336504,0.127158,1260.5,0.9698
41.40,50.95,5.38,-0.2327,-23.61,5.78,-18.25,-18.23,201.0,200.8,-4.09,1.27,0.67,-4.05,1.24,0.79,0.332635,0.126397,1259.4,0.9702
41.60,50.91,5.21,-0.1988,-23.23,5.02,-18.04,-18.02,201.1,200.9,-2.33,1.26,0.66,-2.30,1.27,0.73,0.328454,0.125800,1257.8,0.9706
41.80,50.87,5.13,-0.1829,-22.88,4.75,-17.77,-17.75,201.3,201.1,0.52,1.07,0.82,0.53,1.10,0.87,0.324212,0.125274,1256.1,0.9710
42.00,50.81,4.97,-0.1950,-22.58,5.11,-17.64,-17.61,201.5,201.3,3.44,0.77,1.14,3.39,0.77,1.02,0.319813,0.124605,1253.9,0.9714
42.20,50.75,4.83,-0.2257,-22.31,5.97,-17.51,-17.48,201.8,201.6,5.84,0.82,1.54,5.82,0.82,1.41,0.316501,0.124135,1251.5,0.9717
42.40,50.70,4.76,-0.2704,-22.10,7.25,-17.38,-17.34,202.2,201.9,7.07,1.06,1.83,7.01,1.07,1.58,0.314965,0.123428,1249.4,0.9721
42.60,50.64,4.76,-0.3113,-21.89,8.56,-17.18,-17.14,202.6,202.3,7.00,1.48,2.08,6.89,1.49,1.78,0.315157,0.122868,1246.7,0.9725
42.80,50.58,4.83,-0.3420,-21.68,9.76,-16.91,-16.86,203.1,202.7,6.14,1.53,2.28,6.13,1.61,2.27,0.316498,0.122138,1244.5,0.9729
43.00,50.52,4.83,-0.3657,-21.47,10.71,-16.73,-16.66,203.7,203.3,4.69,1.04,2.34,4.71,1.12,2.36,0.316509,0.120762,1241.9,0.9732
43.20,50.46,4.70,-0.3868,-21.28,11.34,-16.68,-16.60,204.2,203.8,3.49,0.46,2.33,3.46,0.49,2.24,0.313676,0.120271,1239.5,0.9736
43.40,50.42,4.50,-0.4091,-21.13,11.82,-16.73,-16.64,204.7,204.3,2.67,-0.29,2.35,2.61,-0.31,2.13,0.306374,0.118835,1237.8,0.9739
43.60,50.34,4.16,-0.4405,-21.05,12.14,-16.99,-16.89,205.1,204.6,1.97,-0.94,2.39,1.93,-0.94,2.25,0.296655,0.117678,1234.6,0.9743
43.80,50.31,3.89,-0.4702,-21.10,12.35,-17.30,-17.20,205.6,205.1,1.09,-1.38,2.34,1.09,-1.34,2.34,0.285896,0.116666,1233.7,0.9747
44.00,50.28,3.56,-0.4990,-21.20,12.33,-17.73,-17.62,206.0,205.5,0.47,-1.32,2.28,0.42,-1.33,2.12,0.276879,0.115051,1232.7,0.9750
44.20,50.26,3.42,-0.5163,-21.35,12.29,-18.01,-17.90,206.4,205.9,0.55,-1.05,2.25,0.48,-1.07,2.08,0.271359,0.114679,1232.0,0.9754
44.40,50.26,3.29,-0.5367,-21.54,12.29,-18.33,-18.21,206.8,206.2,0.45,-0.65,2.24,0.38,-0.67,2.03,0.268635,0.114521,1232.2,0.9757
44.60,50.25,3.36,-0.5391,-21.73,12.20,-18.45,-18.33,207.2,206.6,0.05,0.09,2.22,0.04,0.08,2.18,0.269973,0.115030,1232.5,0.9761
44.80,50.25,3.49,-0.5312,-21.89,12.02,-18.48,-18.37,207.7,207.2,-0.41,0.64,2.13,-0.36,0.65,2.36,0.274239,0.115824,1232.7,0.9765
45.00,50.24,3.69,-0.5102,-21.99,11.73,-18.38,-18.27,208.2,207.7,-0.87,1.03,2.03,-0.86,0.98,2.09,0.280111,0.116594,1232.7,0.9769
45.20,50.24,3.89,-0.4853,-22.06,11.38,-18.24,-18.15,208.6,208.1,-1.40,1.07,1.97,-1.36,1.05,2.10,0.285950,0.117402,1233.1,0.9772
45.40,50.22,4.03,-0.4562,-22.07,10.89,-18.12,-18.03,209.1,208.6,-2.42,0.92,1.83,-2.30,0.93,2.16,0.289792,0.118311,1232.9,0.9776
45.60,50.20,4.09,-0.4215,-22.05,10.16,-18.02,-17.95,209.5,209.1,-4.07,0.93,1.57,-4.02,0.88,1.75,0.292635,0.118879,1232.4,0.9780
45.80,50.17,4.23,-0.3678,-22.04,9.04,-17.86,-17.80,209.8,209.4,-6.05,1.25,1.24,-5.94,1.24,1.56,0.296097,0.119845,1231.5,0.9784
46.00,50.16,4.43,-0.2971,-21.99,7.56,-17.60,-17.56,210.1,209.8,-7.85,2.30,0.81,-7.70,2.27,1.30,0.303710,0.122727,1231.2,0.9787
46.20,50.11,4.90,-0.2076,-21.87,5.76,-16.99,-16.97,210.3,210.1,-9.45,3.93,0.29,-9.32,3.89,0.78,0.317041,0.126634,1229.4,0.9791
46.40,50.00,5.55,-0.1148,-21.59,3.69,-16.05,-16.04,210.4,210.3,-10.35,5.28,-0.25,-10.25,5.25,0.08,0.334939,0.132098,1224.5,0.9795
46.60,49.89,6.32,-0.0404,-21.20,1.61,-14.88,-14.88,210.3,210.3,-10.18,6.38,-0.77,-10.14,6.37,-0.60,0.356076,0.137985,1219.2,0.9798
46.80,49.71,7.18,0.0059,-20.67,-0.32,-13.49,-13.49,210.1,210.1,-8.79,7.80,-1.11,-8.78,7.80,-1.02,0.381685,0.144718,1211.0,0.9802
47.00,49.47,8.20,0.0186,-19.96,-1.80,-11.76,-11.76,209.8,209.8,-6.32,9.25,-1.21,-6.31,9.24,-1.18,0.414202,0.155279,1199.9,0.9805
47.20,49.17,9.23,0.0057,-19.03,-2.72,-9.81,-9.81,209.5,209.5,-3.85,11.26,-1.15,-3.87,11.29,-1.30,0.453127,0.168992,1185.5,0.9809
47.40,48.72,10.56,-0.0247,-17.82,-3.22,-7.28,-7.28,209.1,209.1,-1.79,13.40,-0.94,-1.82,13.43,-1.14,0.498088,0.185910,1164.6,0.9812
47.60,48.15,11.91,-0.0568,-16.36,-3.35,-4.48,-4.47,208.8,208.7,0.04,14.76,-0.68,0.02,14.73,-0.77,0.546193,0.204752,1137.5,0.9814
47.80,47.44,13.25,-0.0793,-14.64,-3.16,-1.40,-1.41,208.5,208.4,1.48,15.39,-0.39,1.47,15.38,-0.47,0.594746,0.224709,1104.6,0.9817
48.00,46.60,14.38,-0.0844,-12.70,-2.75,1.66,1.66,208.3,208.2,2.20,15.46,-0.06,2.20,15.49,-0.00,0.641518,0.246979,1066.4,0.9819
48.20,45.61,15.38,-0.0769,-10.59,-2.29,4.78,4.77,208.2,208.1,2.36,16.78,0.19,2.36,16.78,0.22,0.685459,0.272711,1021.3,0.9821
48.40,44.45,16.76,-0.0636,-8.38,-1.82,8.37,8.37,208.1,208.0,2.08,17.29,0.15,2.09,17.28,0.13,0.728947,0.303848,970.4,0.9822
48.60,43.14,17.83,-0.0470,-6.14,-1.48,11.69,11.68,208.0,208.0,1.82,17.54,0.23,1.81,17.54,0.30,0.772868,0.338060,914.2,0.9823
48.80,41.65,19.21,-0.0273,-3.82,-1.11,15.39,15.39,208.0,208.0,2.03,18.01,0.44,1.98,18.00,0.69,0.821716,0.373022,852.3,0.9824
49.00,40.07,20.41,-0.0073,-1.52,-0.65,18.89,18.89,208.1,208.1,2.01,17.80,0.54,1.94,17.80,0.75,0.869138,0.405876,788.6,0.9824
49.20,38.42,21.74,0.0024,0.77,-0.26,22.51,22.51,208.2,208.2,1.72,17.56,0.69,1.78,17.58,0.55,0.910948,0.435375,725.0,0.9824
49.40,36.73,23.06,-0.0052,2.86,0.14,25.92,25.92,208.3,208.3,1.11,15.47,0.57,1.24,15.45,0.35,0.945607,0.465893,662.5,0.9824
49.60,34.99,23.94,-0.0223,4.75,0.31,28.70,28.69,208.4,208.4,0.97,12.07,0.59,1.03,12.08,0.42,0.969825,0.491402,601.5,0.9823
49.80,33.27,24.38,-0.0730,6.37,0.66,30.75,30.75,208.6,208.5,1.33,6.97,0.67,1.45,6.98,0.46,0.980585,0.511338,543.5,0.9822
50.00,31.65,23.94,-0.1473,7.54,1.02,31.48,31.48,208.8,208.6,1.21,2.30,0.99,1.46,2.31,0.60,0.968092,0.522476,491.8,0.9821
50.20,30.08,23.50,-0.2404,8.17,1.40,31.66,31.67,209.1,208.8,0.71,-2.61,1.01,0.95,-2.58,0.60,0.934714,0.523516,444.3,0.9820
50.40,28.63,22.18,-0.2783,8.26,1.53,30.42,30.44,209.2,208.9,-0.21,-10.78,0.40,-0.32,-10.79,0.58,0.878960,0.513046,402.4,0.9819
50.60,27.37,19.67,-0.2198,7.68,1.34,27.35,27.35,209.2,209.0,-0.67,-16.31,0.15,-0.83,-16.32,0.49,0.796315,0.484678,367.6,0.9819
50.80,26.28,17.53,-0.1588,6.38,1.22,23.90,23.91,209.1,208.9,-1.85,-20.95,0.02,-2.05,-20.95,0.46,0.695977,0.444360,339.1,0.9818
51.00,25.39,14.60,-0.0407,4.37,0.52,18.97,18.97,209.0,209.0,-2.91,-23.19,-0.47,-3.05,-23.20,-0.09,0.593614,0.374274,316.4,0.9817
51.20,24.71,12.81,0.0012,1.82,-0.04,14.63,14.63,208.8,208.8,-2.53,-19.36,-0.89,-2.52,-19.35,-0.89,0.540172,0.297649,299.6,0.9817
51.40,24.42,12.36,-0.0071,-1.13,-0.58,11.22,11.23,208.6,208.6,0.92,-15.03,-0.09,0.87,-15.03,0.12,0.531010,0.282065,292.8,0.9817
51.60,24.19,12.36,0.0139,-3.74,0.33,8.62,8.62,208.9,208.9,11.09,-13.50,2.60,10.96,-13.57,3.47,0.486852,0.346266,287.2,0.9817
51.80,23.69,12.24,0.2654,-6.40,4.01,5.82,5.79,209.7,210.0,21.57,-17.15,6.06,21.40,-17.37,7.88,0.381355,0.456832,275.5,0.9818
52.00,23.18,12.13,0.7956,-10.38,9.16,1.60,1.47,210.8,211.6,25.57,-19.89,9.10,25.54,-20.05,11.43,0.227075,0.543767,263.9,0.9819
