# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 22.761
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page - canopy normal data
# enhanced_by: polar-visualizer/gps-beta-enhance
# mode: canopy
# trim_offset_deg: 3
# orientation_source: canopy_normal_vector
t,V,alpha,beta,phi,theta,psi,p,q,r,cnN,cnE,cnD,vN,vE,vD,CL,CD,qbar,rho
41.20,7.88,71.92,-56.4661,0.00,11.93,-13.5,-2.36,20.62,11.19,-0.6030,0.1450,-2.9350,0.77,-6.94,3.65,,,31.1,1.0025
41.40,7.74,84.41,-57.7180,0.00,16.00,-11.9,-1.99,20.35,6.94,-0.8090,0.1710,-2.8840,0.33,-6.76,3.76,,,30.0,1.0026
41.60,7.70,99.19,-58.1873,-0.00,20.07,-10.6,-1.56,19.31,4.27,-1.0120,0.1900,-2.8180,-0.25,-6.61,3.94,,,29.7,1.0027
41.80,7.76,113.47,-57.1669,0.00,23.72,-10.1,0.28,16.20,-0.65,-1.1880,0.2120,-2.7460,-0.91,-6.46,4.20,,,30.2,1.0027
42.00,7.92,125.37,-54.9829,0.00,26.55,-10.9,2.69,11.80,-5.39,-1.3170,0.2540,-2.6840,-1.68,-6.28,4.52,,,31.5,1.0028
42.20,8.18,134.19,-52.1579,-0.00,28.44,-12.5,4.55,6.99,-8.40,-1.3950,0.3100,-2.6380,-2.48,-6.06,4.89,,,33.5,1.0029
42.40,8.52,140.60,-49.5984,-0.00,29.35,-14.7,6.82,3.21,-12.13,-1.4220,0.3740,-2.6150,-3.32,-5.83,5.24,,,36.4,1.0030
42.60,8.89,144.78,-47.5760,0.00,29.73,-18.1,10.12,1.53,-17.73,-1.4140,0.4620,-2.6050,-4.18,-5.54,5.56,,,39.7,1.0031
42.80,9.27,147.40,-46.5122,0.00,29.96,-22.9,13.21,1.06,-22.92,-1.3800,0.5830,-2.5990,-5.05,-5.17,5.81,,,43.1,1.0032
43.00,9.63,149.40,-46.3429,0.00,30.15,-28.7,15.35,1.06,-26.42,-1.3220,0.7230,-2.5940,-5.92,-4.70,5.96,,,46.5,1.0033
43.20,9.98,150.98,-46.6557,0.00,30.38,-35.1,16.53,1.37,-28.19,-1.2410,0.8730,-2.5880,-6.77,-4.11,6.07,,,50.0,1.0035
43.40,10.32,152.29,-47.1355,-0.00,30.70,-41.7,16.87,1.96,-28.41,-1.1430,1.0200,-2.5800,-7.55,-3.41,6.17,,,53.5,1.0036
43.60,10.67,153.52,-47.6667,0.00,31.17,-48.3,16.85,3.35,-27.87,-1.0320,1.1600,-2.5670,-8.23,-2.61,6.26,,,57.1,1.0037
43.80,11.02,155.06,-48.1404,0.00,32.04,-54.8,15.60,5.01,-24.93,-0.9180,1.3000,-2.5430,-8.83,-1.73,6.37,,,61.0,1.0038
44.00,11.41,157.49,-47.9599,-0.00,33.17,-60.1,13.13,4.81,-20.08,-0.8180,1.4230,-2.5110,-9.33,-0.78,6.53,,,65.4,1.0039
44.20,11.83,160.60,-47.1167,0.00,33.96,-64.4,10.16,2.67,-15.09,-0.7250,1.5110,-2.4880,-9.74,0.27,6.70,,,70.2,1.0041
44.40,12.32,163.90,-45.7813,0.00,34.24,-67.4,7.23,-1.10,-10.63,-0.6490,1.5580,-2.4800,-10.12,1.34,6.89,,,76.2,1.0042
44.60,12.82,166.06,-44.0700,-0.00,33.52,-69.5,4.84,-5.84,-7.31,-0.5800,1.5520,-2.5010,-10.40,2.37,7.10,,,82.5,1.0043
44.80,13.35,167.39,-42.0472,-0.00,31.90,-70.9,1.70,-10.86,-2.73,-0.5190,1.4980,-2.5470,-10.64,3.40,7.31,,,89.5,1.0045
45.00,13.85,167.74,-39.4307,0.00,29.18,-70.8,-2.20,-16.32,3.94,-0.4810,1.3810,-2.6190,-10.82,4.32,7.49,,,96.4,1.0046
45.20,14.32,167.25,-36.0912,0.00,25.37,-69.1,-6.79,-20.50,14.31,-0.4590,1.2010,-2.7110,-10.99,5.13,7.61,,,103.0,1.0048
45.40,14.69,166.66,-30.9128,0.00,20.98,-64.5,-11.76,-21.93,30.68,-0.4630,0.9690,-2.8010,-11.13,5.79,7.64,,,108.5,1.0049
45.60,14.99,166.22,-22.8840,-0.00,16.60,-55.9,-16.44,-21.24,55.17,-0.4800,0.7100,-2.8750,-11.29,6.29,7.60,,,112.9,1.0051
45.80,15.20,165.30,-10.1039,-0.00,12.48,-41.4,-23.81,-18.42,107.57,-0.4860,0.4290,-2.9290,-11.46,6.56,7.52,,,116.1,1.0052
46.00,15.36,161.79,15.5660,0.00,9.23,-11.9,-28.96,-6.63,178.18,-0.4710,0.0990,-2.9610,-11.64,6.66,7.50,,,118.6,1.0054
46.20,15.39,144.74,49.0402,0.00,9.83,30.8,-29.94,13.46,172.81,-0.4400,-0.2620,-2.9560,-11.74,6.54,7.51,,,119.1,1.0055
46.40,15.32,115.07,60.1107,0.00,14.62,58.3,-24.58,26.70,94.26,-0.3980,-0.6440,-2.9030,-11.82,6.14,7.57,,,118.0,1.0057
46.60,15.25,105.45,59.0702,0.00,20.51,69.7,-15.37,29.56,41.08,-0.3640,-0.9860,-2.8100,-11.89,5.56,7.76,,,117.0,1.0058
46.80,15.17,107.22,57.0738,0.00,26.44,75.8,-12.98,30.28,26.09,-0.3270,-1.2950,-2.6860,-11.92,4.81,8.06,,,115.8,1.0060
47.00,15.15,111.28,54.7878,0.00,32.62,81.4,-12.91,29.79,20.18,-0.2420,-1.5990,-2.5270,-11.91,3.99,8.46,,,115.4,1.0062
47.20,15.17,118.74,52.8980,0.00,38.36,85.4,-12.49,26.47,15.78,-0.1490,-1.8560,-2.3530,-11.90,2.96,8.93,,,115.8,1.0063
47.40,15.18,126.56,50.8556,0.00,43.21,89.4,-12.89,18.23,13.72,-0.0200,-2.0540,-2.1870,-11.76,1.72,9.45,,,116.0,1.0065
47.60,15.29,133.05,49.1825,0.00,45.65,92.9,-10.92,6.52,10.67,0.1100,-2.1420,-2.0970,-11.61,0.38,9.95,,,117.7,1.0067
47.80,15.40,139.04,47.5715,0.00,45.81,95.5,-9.38,-2.34,9.12,0.2080,-2.1410,-2.0910,-11.31,-1.14,10.39,,,119.5,1.0069
48.00,15.54,143.45,46.2326,-0.00,44.71,98.2,-9.38,-7.10,9.47,0.3000,-2.0890,-2.1320,-10.96,-2.66,10.70,,,121.6,1.0071
48.20,15.68,147.23,45.3997,0.00,42.97,100.9,-9.97,-8.98,10.70,0.3860,-2.0080,-2.1950,-10.56,-4.22,10.80,,,123.8,1.0074
48.40,15.85,150.20,44.7894,0.00,41.12,104.0,-11.13,-10.64,12.75,0.4780,-1.9140,-2.2600,-10.08,-5.73,10.81,,,126.5,1.0076
48.60,16.01,152.53,44.5289,0.00,38.71,107.7,-10.61,-12.38,13.24,0.5690,-1.7880,-2.3410,-9.47,-7.27,10.67,,,129.1,1.0078
48.80,16.13,154.97,44.4472,0.00,36.17,110.8,-10.03,-15.43,13.72,0.6290,-1.6550,-2.4220,-8.78,-8.70,10.37,,,131.2,1.0080
49.00,16.18,155.67,45.0683,0.00,32.54,114.5,-11.92,-19.45,18.68,0.6680,-1.4690,-2.5290,-8.05,-9.96,9.88,,,131.9,1.0082
49.20,16.29,155.04,46.9370,-0.00,28.39,119.7,-15.03,-22.99,27.82,0.7060,-1.2390,-2.6390,-7.29,-11.25,9.26,,,133.9,1.0084
49.40,16.18,149.98,50.5006,0.00,23.34,127.1,-18.38,-25.93,42.60,0.7170,-0.9480,-2.7540,-6.52,-12.08,8.57,,,132.0,1.0086
49.60,15.88,138.98,56.2052,0.00,18.01,138.2,-17.89,-24.78,55.00,0.6920,-0.6180,-2.8530,-5.70,-12.60,7.80,,,127.2,1.0088
49.80,15.41,122.64,62.1326,0.00,13.43,150.2,-18.32,-19.87,76.72,0.6050,-0.3460,-2.9180,-5.02,-12.83,6.92,,,119.9,1.0089
50.00,14.87,84.24,64.5293,-0.00,10.06,169.8,-22.20,-9.53,125.05,0.5160,-0.0930,-2.9540,-4.41,-12.84,6.05,,,111.5,1.0090
50.20,14.25,44.58,46.8297,-0.00,9.62,-159.0,-25.24,7.57,148.90,0.4680,0.1800,-2.9580,-3.99,-12.67,5.16,,,102.4,1.0092
50.40,13.47,36.64,22.4029,0.00,13.09,-129.8,-23.53,23.62,101.20,0.4350,0.5220,-2.9220,-3.52,-12.24,4.37,,,91.6,1.0093
50.60,12.48,40.15,11.7896,-0.00,19.07,-117.4,-14.52,31.12,42.02,0.4510,0.8700,-2.8350,-3.08,-11.48,3.79,,,78.6,1.0093
50.80,11.15,45.14,7.0842,-0.00,25.54,-112.0,-3.87,31.26,8.11,0.4850,1.1990,-2.7070,-2.70,-10.34,3.16,,,62.7,1.0094
51.00,9.72,50.87,9.7285,0.00,31.57,-113.8,7.92,26.31,-12.89,0.6340,1.4370,-2.5560,-2.21,-9.08,2.69,,,47.7,1.0094
51.20,8.47,59.92,14.5342,0.00,36.06,-118.1,11.38,15.36,-15.63,0.8310,1.5580,-2.4250,-1.73,-7.76,2.92,,,36.2,1.0095
51.40,7.25,68.35,21.4296,0.00,37.72,-121.5,9.38,-3.01,-12.13,0.9600,1.5640,-2.3730,-0.87,-6.48,3.13,,,26.5,1.0095
51.60,6.28,74.28,27.7120,0.00,34.86,-124.2,1.48,-17.51,-2.13,0.9640,1.4180,-2.4620,-0.10,-5.34,3.30,,,19.9,1.0096
51.80,5.36,79.45,31.2441,0.00,30.71,-122.6,-4.68,-22.18,7.88,0.8250,1.2910,-2.5790,0.62,-4.19,3.28,,,14.5,1.0097
52.00,4.69,83.47,35.7850,0.00,25.98,-120.5,-7.96,-24.84,16.33,0.6680,1.1320,-2.6970,1.24,-3.30,3.10,,,11.1,1.0097
52.20,3.96,87.80,39.7405,0.00,20.78,-115.3,-13.45,-25.96,35.45,0.4550,0.9620,-2.8050,1.72,-2.29,2.74,,,7.9,1.0098
52.40,3.43,85.03,44.5444,0.00,15.60,-105.4,-19.99,-25.74,71.58,0.2140,0.7780,-2.8900,2.06,-1.58,2.24,,,5.9,1.0099
52.60,2.84,69.28,45.0306,0.00,10.48,-85.6,-21.92,-17.61,118.53,-0.0420,0.5440,-2.9500,2.09,-0.97,1.66,,,4.1,1.0099
52.80,2.28,45.51,34.4800,0.00,8.55,-57.2,-21.14,-9.62,140.52,-0.2420,0.3750,-2.9670,1.93,-0.61,1.05,,,2.6,1.0099
