$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,ea8aa9a3334d4f7b7776dc2a
$COL,EVNT,time,description
$UNIT,EVNT,s,
$DATA
$EVNT,53405.729,"6/15 timers used before active mode initialization"
$EVNT,54455.053,"----------"
$EVNT,54455.056,"1248/2048 slots used in GNSS buffer"
$EVNT,54455.060,"0 ms average time spent in GNSS update task"
$EVNT,54455.063,"3 ms maximum time spent in GNSS update task"
$EVNT,54455.066,"80 ms maximum time between calls to GNSS update task"
$EVNT,54455.071,"----------"
$EVNT,54455.074,"1636/2048 slots used in audio buffer"
$EVNT,54455.077,"0 ms average time spent in audio update task"
$EVNT,54455.081,"1 ms maximum time spent in audio update task"
$EVNT,54455.087,"57 ms maximum time between calls to audio update task"
$EVNT,54455.090,"----------"
$EVNT,54455.093,"6/15 timers used after active mode de-initialization"
$EVNT,54455.096,"----------"
$EVNT,54455.099,"1/30 slots used in $BARO message buffer"
$EVNT,54455.102,"1/3 slots used in $HUM message buffer"
$EVNT,54455.107,"1/15 slots used in $MAG message buffer"
$EVNT,54455.141,"3/6 slots used in $GNSS message buffer"
$EVNT,54455.144,"1/2 slots used in $TIME message buffer"
$EVNT,54455.151,"3/5 slots used in $RAW message buffer"
$EVNT,54455.154,"3/667 slots used in $IMU message buffer"
$EVNT,54455.157,"1/2 slots used in $VBAT message buffer"
$EVNT,54455.160,"----------"
$EVNT,54455.163,"1 ms average time spent in log update task"
$EVNT,54455.166,"44 ms maximum time spent in log update task"
$EVNT,54455.171,"53 ms maximum time between calls to log update task"
$EVNT,54455.174,"----------"
$EVNT,54455.177,"3 ms average time spent in log sync task"
$EVNT,54455.180,"41 ms maximum time spent in log sync task"
$EVNT,54455.187,"347 ms maximum time between calls to log sync task"
