$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,3086f9bd05d21738af97143e
$COL,EVNT,time,description
$UNIT,EVNT,s,
$DATA
$EVNT,52968.591,"6/15 timers used before active mode initialization"
$EVNT,53402.410,"----------"
$EVNT,53402.413,"1170/2048 slots used in GNSS buffer"
$EVNT,53402.419,"0 ms average time spent in GNSS update task"
$EVNT,53402.422,"3 ms maximum time spent in GNSS update task"
$EVNT,53402.425,"84 ms maximum time between calls to GNSS update task"
$EVNT,53402.430,"----------"
$EVNT,53402.434,"1599/2048 slots used in audio buffer"
$EVNT,53402.437,"0 ms average time spent in audio update task"
$EVNT,53402.440,"1 ms maximum time spent in audio update task"
$EVNT,53402.449,"67 ms maximum time between calls to audio update task"
$EVNT,53402.452,"----------"
$EVNT,53402.455,"6/15 timers used after active mode de-initialization"
$EVNT,53402.458,"----------"
$EVNT,53402.461,"1/30 slots used in $BARO message buffer"
$EVNT,53402.464,"1/3 slots used in $HUM message buffer"
$EVNT,53402.469,"1/15 slots used in $MAG message buffer"
$EVNT,53402.472,"3/6 slots used in $GNSS message buffer"
$EVNT,53402.475,"1/2 slots used in $TIME message buffer"
$EVNT,53402.479,"3/5 slots used in $RAW message buffer"
$EVNT,53402.485,"3/667 slots used in $IMU message buffer"
$EVNT,53402.488,"1/2 slots used in $VBAT message buffer"
$EVNT,53402.491,"----------"
$EVNT,53402.494,"1 ms average time spent in log update task"
$EVNT,53402.497,"60 ms maximum time spent in log update task"
$EVNT,53402.501,"64 ms maximum time between calls to log update task"
$EVNT,53402.509,"----------"
$EVNT,53402.512,"3 ms average time spent in log sync task"
$EVNT,53402.515,"40 ms maximum time spent in log sync task"
$EVNT,53402.522,"357 ms maximum time between calls to log sync task"
