$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,4786bd8c4ece967ea6917949
$COL,EVNT,time,description
$UNIT,EVNT,s,
$DATA
$EVNT,52604.724,"6/15 timers used before active mode initialization"
$EVNT,52967.277,"----------"
$EVNT,52967.280,"1140/2048 slots used in GNSS buffer"
$EVNT,52967.283,"0 ms average time spent in GNSS update task"
$EVNT,52967.286,"3 ms maximum time spent in GNSS update task"
$EVNT,52967.289,"78 ms maximum time between calls to GNSS update task"
$EVNT,52967.295,"----------"
$EVNT,52967.298,"1822/2048 slots used in audio buffer"
$EVNT,52967.301,"0 ms average time spent in audio update task"
$EVNT,52967.307,"1 ms maximum time spent in audio update task"
$EVNT,52967.310,"60 ms maximum time between calls to audio update task"
$EVNT,52967.313,"----------"
$EVNT,52967.316,"6/15 timers used after active mode de-initialization"
$EVNT,52967.320,"----------"
$EVNT,52967.323,"1/30 slots used in $BARO message buffer"
$EVNT,52967.326,"1/3 slots used in $HUM message buffer"
$EVNT,52967.335,"1/15 slots used in $MAG message buffer"
$EVNT,52967.338,"3/6 slots used in $GNSS message buffer"
$EVNT,52967.344,"1/2 slots used in $TIME message buffer"
$EVNT,52967.347,"3/5 slots used in $RAW message buffer"
$EVNT,52967.350,"2/667 slots used in $IMU message buffer"
$EVNT,52967.353,"1/2 slots used in $VBAT message buffer"
$EVNT,52967.357,"----------"
$EVNT,52967.360,"1 ms average time spent in log update task"
$EVNT,52967.363,"50 ms maximum time spent in log update task"
$EVNT,52967.367,"53 ms maximum time between calls to log update task"
$EVNT,52967.371,"----------"
$EVNT,52967.374,"3 ms average time spent in log sync task"
$EVNT,52967.380,"40 ms maximum time spent in log sync task"
$EVNT,52967.383,"340 ms maximum time between calls to log sync task"
